addr,name,size,xrefs,provenance,module,method,confidence,reconstruct
0x00000008,FUN_00000008,164,1,unknown,,unknown,0,0
0x000000ac,FUN_000000ac,12,3,unknown,,unknown,0,0
0x000000b8,FUN_000000b8,12,24,unknown,,unknown,0,0
0x000000c4,FUN_000000c4,12,52,unknown,,unknown,0,0
0x000000d0,FUN_000000d0,12,534,unknown,,unknown,0,0
0x000000dc,FUN_000000dc,12,405,unknown,,unknown,0,0
0x000000e8,FUN_000000e8,12,286,unknown,,unknown,0,0
0x000000f4,FUN_000000f4,12,3,unknown,,unknown,0,0
0x00000100,FUN_00000100,12,2,unknown,,unknown,0,0
0x0000010c,FUN_0000010c,12,12,unknown,,unknown,0,0
0x00000118,FUN_00000118,12,15,unknown,,unknown,0,0
0x00000124,halt_loop,4,2,unknown,,unknown,0,0
0x0000019c,FUN_0000019c,196,1,unknown,,unknown,0,0
0x00000260,FUN_00000260,32,7,unknown,,unknown,0,0
0x00000280,FUN_00000280,380,19,unknown,,unknown,0,0
0x000003fc,FUN_000003fc,424,9,unknown,,unknown,0,0
0x000005a4,FUN_000005a4,420,55,unknown,,unknown,0,0
0x00000748,FUN_00000748,248,21,unknown,,unknown,0,0
0x00000988,FUN_00000988,436,70,unknown,,unknown,0,0
0x00000b3c,FUN_00000b3c,516,2,unknown,,unknown,0,0
0x00000d40,FUN_00000d40,532,3,unknown,,unknown,0,0
0x00000f54,FUN_00000f54,440,50,unknown,,unknown,0,0
0x00001290,FUN_00001290,440,11,unknown,,unknown,0,0
0x00001448,FUN_00001448,248,3,unknown,,unknown,0,0
0x0000174c,FUN_0000174c,436,6,unknown,,unknown,0,0
0x00001968,FUN_00001968,144,1,unknown,,unknown,0,0
0x00001a4c,FUN_00001a4c,340,2,unknown,,unknown,0,0
0x00001c94,FUN_00001c94,280,1,unknown,,unknown,0,0
0x00001dac,FUN_00001dac,36,4,unknown,,unknown,0,0
0x00001dd0,FUN_00001dd0,60,1,unknown,,unknown,0,0
0x00001e0c,FUN_00001e0c,84,2,unknown,,unknown,0,0
0x00001e60,FUN_00001e60,2280,2,unknown,,unknown,0,0
0x00002748,FUN_00002748,148,2,unknown,,unknown,0,0
0x000027dc,FUN_000027dc,392,1,unknown,,unknown,0,0
0x00002964,FUN_00002964,156,5,unknown,,unknown,0,0
0x00002a00,FUN_00002a00,1200,13,unknown,,unknown,0,0
0x00002eb0,FUN_00002eb0,132,1,unknown,,unknown,0,0
0x00002f34,FUN_00002f34,52,1,unknown,,unknown,0,0
0x00002f68,FUN_00002f68,192,3,unknown,,unknown,0,0
0x00003028,FUN_00003028,1044,4,unknown,,unknown,0,0
0x0000343c,FUN_0000343c,3260,1,red,,string-flavor,2,1
0x000040f8,FUN_000040f8,6716,2,red,app_modules/lensmon,source-path,3,1
0x00005e64,FUN_00005e64,1060,1,unknown,,unknown,0,0
0x00006288,FUN_00006288,260,2,unknown,,unknown,0,0
0x00006558,FUN_00006558,96,1,unknown,,unknown,0,0
0x000068d4,FUN_000068d4,456,2,red,app_modules/parammgr,source-path,3,1
0x00006a9c,FUN_00006a9c,416,2,red,app_modules/parammgr,source-path,3,1
0x00006d14,FUN_00006d14,1732,1,unknown,,unknown,0,0
0x00007500,FUN_00007500,372,2,unknown,,unknown,0,0
0x000092c4,FUN_000092c4,152,1,unknown,,unknown,0,0
0x0000935c,FUN_0000935c,96,1,unknown,,unknown,0,0
0x0000942c,FUN_0000942c,116,1,unknown,,unknown,0,0
0x00009518,FUN_00009518,20,180,unknown,,unknown,0,0
0x0000952c,FUN_0000952c,88,1,unknown,,unknown,0,0
0x000095ec,FUN_000095ec,32,1,unknown,,unknown,0,0
0x0000960c,FUN_0000960c,128,1,unknown,,unknown,0,0
0x0000968c,FUN_0000968c,104,2,unknown,,unknown,0,0
0x000096f4,FUN_000096f4,20,1,unknown,,unknown,0,0
0x00009708,FUN_00009708,212,3,unknown,,unknown,0,0
0x00009b78,FUN_00009b78,80,8,unknown,,unknown,0,0
0x00009bc8,FUN_00009bc8,212,1,unknown,,unknown,0,0
0x00009df8,FUN_00009df8,44,4,unknown,,unknown,0,0
0x00009e24,FUN_00009e24,192,1,unknown,,unknown,0,0
0x00009ee4,FUN_00009ee4,252,1,unknown,,unknown,0,0
0x00009fe0,FUN_00009fe0,44,1,unknown,,unknown,0,0
0x0000a018,FUN_0000a018,68,1,unknown,,unknown,0,0
0x0000a05c,FUN_0000a05c,32,107,unknown,,unknown,0,0
0x0000a07c,FUN_0000a07c,32,97,unknown,,unknown,0,0
0x0000a09c,FUN_0000a09c,32,7,unknown,,unknown,0,0
0x0000a0bc,FUN_0000a0bc,32,11,unknown,,unknown,0,0
0x0000a0dc,FUN_0000a0dc,100,4,unknown,,unknown,0,0
0x0000a140,FUN_0000a140,100,3,unknown,,unknown,0,0
0x0000a1a4,FUN_0000a1a4,100,4,unknown,,unknown,0,0
0x0000a208,FUN_0000a208,100,1,unknown,,unknown,0,0
0x0000a26c,FUN_0000a26c,100,1,unknown,,unknown,0,0
0x0000a2d0,FUN_0000a2d0,496,1,unknown,,unknown,0,0
0x0000a4c0,FUN_0000a4c0,16,1,unknown,,unknown,0,0
0x0000a4d0,FUN_0000a4d0,72,1,unknown,,unknown,0,0
0x0000a518,FUN_0000a518,12,2,unknown,,unknown,0,0
0x0000a524,FUN_0000a524,196,2,unknown,,unknown,0,0
0x0000a5e8,FUN_0000a5e8,16,1,unknown,,unknown,0,0
0x0000a5f8,FUN_0000a5f8,12,1,unknown,,unknown,0,0
0x0000a604,FUN_0000a604,16,1,unknown,,unknown,0,0
0x0000a614,FUN_0000a614,68,2,unknown,,unknown,0,0
0x0000a658,FUN_0000a658,48,11,unknown,,unknown,0,0
0x0000a6ec,FUN_0000a6ec,52,29,unknown,,unknown,0,0
0x0000a780,FUN_0000a780,88,3,unknown,,unknown,0,0
0x0000a7d8,FUN_0000a7d8,96,1,unknown,,unknown,0,0
0x0000a838,FUN_0000a838,216,4,unknown,,unknown,0,0
0x0000a910,FUN_0000a910,260,36,unknown,,unknown,0,0
0x0000aa14,FUN_0000aa14,116,16,unknown,,unknown,0,0
0x0000aa88,FUN_0000aa88,32,18,unknown,,unknown,0,0
0x0000aaa8,FUN_0000aaa8,220,3,unknown,,unknown,0,0
0x0000ab84,FUN_0000ab84,216,3,unknown,,unknown,0,0
0x0000b078,FUN_0000b078,636,3,unknown,,unknown,0,0
0x0000b7ec,FUN_0000b7ec,584,2,unknown,,unknown,0,0
0x0000ba34,FUN_0000ba34,204,4,unknown,,unknown,0,0
